name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_16_,168,16,10,1.135954142,4.995,4.9965,0.03003003,2,1.350162983
Instance_168_16_,168,16,50,5.722615957,4.848,4.849,0.020627063,2,6.074362993
Instance_168_16_,168,16,100,13.53024507,4.88345,4.88465,0.024572792,2,14.18059492
Instance_168_16_,168,16,150,19.4917829,4.677400001,4.67820915,0.0172991,2,20.345752
Instance_168_16_,168,16,200,23.47871494,4.8221,4.8226,0.010368926,2,24.97247601
Instance_270_16_,270,16,10,1.647505999,5.525,5.525,0,2,2.846427202
Instance_270_16_,270,16,50,7.644818068,5.8675,5.87,0.042607584,2,8.724536896
Instance_270_16_,270,16,100,17.45374799,5.70245,5.703116667,0.011690881,2,18.26263881
Instance_270_16_,270,16,150,22.50973296,5.834588893,5.835500237,0.015619678,2,23.97413492
Instance_270_16_,270,16,200,29.76205111,5.77065,5.77155,0.015596163,2,31.338063
Instance_500_16_,500,16,10,2.25451684,7.31,7.323642173,0.186623438,2,3.065294027
Instance_500_16_,500,16,50,9.705844879,7.5245,7.5305,0.079739518,2,10.18895197
Instance_500_16_,500,16,100,18.54113817,7.44245,7.443022222,0.007688627,2,20.29354191
Instance_500_16_,500,16,150,30.46532679,7.507400003,7.508370114,0.012922063,2,33.0370152
Instance_500_16_,500,16,200,41.89899087,8.12215,8.122750003,0.007387246,2,46.16319299
Instance_900_16_,900,16,10,3.4788692,8.4275,8.434948454,0.088382719,2,4.485215902
Instance_900_16_,900,16,50,14.44035411,9.238,9.2445,0.07036155,2,15.38121581
Instance_900_16_,900,16,100,37.86526489,9.2599,9.260671425,0.008330809,2,42.07380605
Instance_900_16_,900,16,150,62.04202104,9.175755556,9.176360845,0.00659662,2,64.30327606
Instance_900_16_,900,16,200,86.5077002,9.3896,9.3953,0.060705461,2,90.56242681
Instance_1500_16_,1500,16,10,3.673369884,9.939,9.960863287,0.219974718,2,4.773682117
Instance_1500_16_,1500,16,50,16.84609008,11.305,11.3155,0.092879257,2,18.11931109
Instance_1500_16_,1500,16,100,75.75562286,10.6402,10.68518563,0.422789341,2,88.14355826
Instance_1500_16_,1500,16,150,204.4637864,11.27531111,11.27592818,0.005472715,2,207.5069468
Instance_1500_16_,1500,16,200,239.5599091,11.05635,11.0635,0.06466872,2,252.3682969
