name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time
Instance_168_16_,168,16,100,423.12257,4.91145,4.9441,0.664773132,2,10804.22699
Instance_168_16_,168,16,150,10808.00355,4.713244444,4.725803541,0.266463939,2,10809.76623
Instance_168_16_,168,16,200,5643.593997,4.84205,4.85945,0.359351923,2,10808.74663
Instance_270_16_,270,16,100,5191.344787,5.719,5.73105,0.210701172,2,10806.72836
Instance_270_16_,270,16,150,5222.627533,5.857844447,5.867916336,0.171938484,2,10807.91603
Instance_270_16_,270,16,200,6167.104656,5.7808,5.79375,0.224017437,2,10808.72667
Instance_500_16_,500,16,100,10804.53819,7.47815,7.4824,0.056832238,2,10809.83684
Instance_500_16_,500,16,150,5857.705877,7.567244448,7.575246243,0.105742529,2,10810.06643
Instance_500_16_,500,16,200,6041.147398,8.1495,8.1665,0.208601755,2,10810.9416
Instance_900_16_,900,16,100,10807.52013,9.2937,9.3002,0.069939852,2,10809.5338
Instance_900_16_,900,16,150,4490.563705,9.195733334,9.210117786,0.156425281,2,10830.54969
Instance_900_16_,900,16,200,9617.303793,9.4022,9.4219,0.20952543,2,10814.37108
Instance_1500_16_,1500,16,100,5078.451396,10.6797,10.69415,0.135303426,2,10808.24106
Instance_1500_16_,1500,16,150,10710.34037,11.28842222,11.32521035,0.325892558,2,10818.30216
Instance_1500_16_,1500,16,200,10301.64897,11.0536,11.09665,0.389465875,2,10838.32562
