time,best,best bound,gap %,status
0.08723616600036621,1.500000000000001,9.6,539.9999999999995,2
time,best,best bound,gap %,status
0.09775209426879883,4.1,4.575,11.585365853658551,2
time,best,best bound,gap %,status
0.09987783432006836,4.400000000000001,4.575,3.977272727272702,2
time,best,best bound,gap %,status
0.20119619369506836,3.5999999999999988,1e+100,2.7777777777777786e+101,2
time,best,best bound,gap %,status
0.202362060546875,3.7499999999999996,1e+100,2.666666666666667e+101,2
time,best,best bound,gap %,status
0.20343708992004395,3.8,1e+100,2.6315789473684212e+101,2
time,best,best bound,gap %,status
0.20624899864196777,3.8,1e+100,2.6315789473684212e+101,2
time,best,best bound,gap %,status
0.4101250171661377,3.7249999999999988,1e+100,2.6845637583892628e+101,2
time,best,best bound,gap %,status
0.4117140769958496,4.45,1e+100,2.247191011235955e+101,2
time,best,best bound,gap %,status
0.4181830883026123,4.6499999999999995,1e+100,2.1505376344086024e+101,2
time,best,best bound,gap %,status
0.42602109909057617,4.6499999999999995,1e+100,2.1505376344086024e+101,2
time,best,best bound,gap %,status
0.6372742652893066,5.349999999999998,1e+100,1.8691588785046738e+101,2
time,best,best bound,gap %,status
0.6385631561279297,5.399999999999997,1e+100,1.851851851851853e+101,2
time,best,best bound,gap %,status
0.646388053894043,5.699999999999997,1e+100,1.754385964912282e+101,2
time,best,best bound,gap %,status
0.6540632247924805,5.7499999999999964,1e+100,1.7391304347826098e+101,2
time,best,best bound,gap %,status
0.7073450088500977,5.774999999999997,1e+100,1.7316017316017327e+101,2
time,best,best bound,gap %,status
0.7102711200714111,5.774999999999997,1e+100,1.7316017316017327e+101,2
time,best,best bound,gap %,status
0.9640541076660156,5.974999999999999,1e+100,1.6736401673640172e+101,2
time,best,best bound,gap %,status
0.9663639068603516,6.349999999999998,1e+100,1.5748031496062997e+101,2
time,best,best bound,gap %,status
0.9677691459655762,6.399999999999998,1e+100,1.5625000000000006e+101,2
time,best,best bound,gap %,status
0.9770910739898682,6.399999999999998,1e+100,1.5625000000000006e+101,2
time,best,best bound,gap %,status
1.2109220027923584,5.1499999999999995,1e+100,1.9417475728155344e+101,2
time,best,best bound,gap %,status
1.213348150253296,5.299999999999999,1e+100,1.886792452830189e+101,2
time,best,best bound,gap %,status
1.215857982635498,5.399999999999999,1e+100,1.8518518518518522e+101,2
time,best,best bound,gap %,status
1.224046230316162,5.399999999999999,1e+100,1.8518518518518522e+101,2
time,best,best bound,gap %,status
1.4583470821380615,3.949999999999999,1e+100,2.531645569620254e+101,2
time,best,best bound,gap %,status
1.46016526222229,4.2,1e+100,2.380952380952381e+101,2
time,best,best bound,gap %,status
1.4621849060058594,4.4,1e+100,2.2727272727272728e+101,2
time,best,best bound,gap %,status
1.4677109718322754,4.4,1e+100,2.2727272727272728e+101,2
time,best,best bound,gap %,status
1.7055261135101318,5.549999999999999,1e+100,1.8018018018018023e+101,2
time,best,best bound,gap %,status
1.7071270942687988,5.749999999999998,1e+100,1.7391304347826095e+101,2
time,best,best bound,gap %,status
1.7127580642700195,5.849999999999998,1e+100,1.7094017094017102e+101,2
time,best,best bound,gap %,status
1.7274670600891113,5.849999999999998,1e+100,1.7094017094017102e+101,2
time,best,best bound,gap %,status
2.0199742317199707,3.475,1e+100,2.8776978417266186e+101,2
time,best,best bound,gap %,status
2.0212650299072266,4.3,1e+100,2.3255813953488374e+101,2
time,best,best bound,gap %,status
2.0231659412384033,4.45,1e+100,2.247191011235955e+101,2
time,best,best bound,gap %,status
2.030898094177246,4.5,1e+100,2.2222222222222226e+101,2
time,best,best bound,gap %,status
2.064500093460083,4.5249999999999995,1e+100,2.2099447513812156e+101,2
time,best,best bound,gap %,status
2.071382999420166,4.5249999999999995,1e+100,2.2099447513812156e+101,2
time,best,best bound,gap %,status
2.344515085220337,5.1,1e+100,1.9607843137254904e+101,2
time,best,best bound,gap %,status
2.3459320068359375,5.199999999999999,1e+100,1.9230769230769233e+101,2
time,best,best bound,gap %,status
2.3507440090179443,5.249999999999999,1e+100,1.904761904761905e+101,2
time,best,best bound,gap %,status
2.3525071144104004,5.249999999999999,1e+100,1.904761904761905e+101,2
time,best,best bound,gap %,status
2.6874630451202393,4.650000000000001,1e+100,2.1505376344086017e+101,2
time,best,best bound,gap %,status
2.6889381408691406,4.750000000000001,1e+100,2.1052631578947365e+101,2
time,best,best bound,gap %,status
2.695801258087158,4.775000000000001,1e+100,2.0942408376963346e+101,2
time,best,best bound,gap %,status
2.6997711658477783,4.800000000000001,1e+100,2.083333333333333e+101,2
time,best,best bound,gap %,status
2.7066760063171387,4.800000000000001,1e+100,2.083333333333333e+101,2
