name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,iteration
Instance_168_100_,168,100,10,2.938647985,7.385,7.420417865,0.479591938,2,3460.580296,V4 BLS
Instance_168_100_,168,100,50,11.86620808,6.467,6.4675,0.00773156,2,110.195873,V4 BLS
Instance_168_100_,168,100,100,28.8802371,6.7071,6.70765,0.008200265,2,2553.663858,V4 BLS
Instance_168_100_,168,100,150,47.66820502,6.85182223,6.852406008,0.008520043,2,52.49704599,0
Instance_168_100_,168,100,200,61.96099472,6.8329,6.833550007,0.0095129,2,68.15099311,0
Instance_270_100_,270,100,10,3.929390192,8.550000004,8.581580983,0.36936817,2,3445.997645,V4 BLS
Instance_270_100_,270,100,50,20.95420027,8.745,8.7555,0.120068611,2,2462.173765,V4 BLS
Instance_270_100_,270,100,100,40.63792014,8.208650004,8.208950004,0.003654681,2,44.40357208,0
Instance_270_100_,270,100,150,67.97159696,8.375244449,8.376405895,0.013867597,2,73.7422719,0
Instance_270_100_,270,100,200,76.08930111,8.2002,8.20135,0.014024048,2,3171.32163,V4 BLS
Instance_500_100_,500,100,10,7.083870888,10.178,10.19498438,0.166873448,2,3248.520526,V4 BLS
Instance_500_100_,500,100,50,28.59150839,10.16,10.172,0.118110236,2,1402.963881,V4 BLS
Instance_500_100_,500,100,100,71.55194497,10.40835,10.40835,7.89288E-09,2,79.86773396,0
Instance_500_100_,500,100,150,135.8097899,10.17528889,10.17592427,0.006244315,2,3581.681074,V4 BLS
Instance_500_100_,500,100,200,136.8214159,10.31885,10.31945,0.005814635,2,3336.277301,V4 BLS
Instance_900_100_,900,100,10,9.7800138,13.05100001,13.06138889,0.079602244,2,3098.22738,V4 BLS
Instance_900_100_,900,100,50,70.10215306,12.503,12.506,0.023994241,2,1471.901538,V4 BLS
Instance_900_100_,900,100,100,134.7380528,12.18905,12.19005,0.008204101,2,1671.386411,V4 BLS
Instance_900_100_,900,100,150,248.3757811,12.73495556,12.73573539,0.006123573,2,2580.19028,V4 BLS
Instance_900_100_,900,100,200,319.02614,12.4378,12.43905,0.010050009,2,2015.541071,V4 BLS
Instance_1500_100_,1500,100,10,10.32310605,13.2075,13.23545375,0.211650562,2,3546.227993,V4 BLS
Instance_1500_100_,1500,100,50,80.29750919,13.6875,13.6875,6.03885E-09,2,83.85514307,0
Instance_1500_100_,1500,100,100,375.7969382,14.6753,14.6761,0.005451364,2,383.508106,0
Instance_1500_100_,1500,100,150,626.6121941,14.68851111,14.68988129,0.009328233,2,2480.450829,V4 BLS
Instance_1500_100_,1500,100,200,672.3557689,14.76305,14.79865,0.241142582,2,1383.387902,V4 BLS
