"Model","I","L","S","|K1|","|K2|","Locate_K1","Locate_K2","Delay_K1","Delay_K2","OnTime_K1","OnTime_K2","Dispatched_K1","Dispatched_K2"
"M1SinSupuesto","168","70","200","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","70","200","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","70","200","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","200","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","200","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","168","100","200","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","200","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","200","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","16","200","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","50","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","50","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","50","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","100","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","100","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","100","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","150","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","150","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","150","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","200","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","200","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","30","200","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","10","10","6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","10","20","11","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"M1SinSupuesto","270","50","10","35","20","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
